信号类型,评分,突破日期,突破价,当前价,突破后涨幅,倍量比,缩量比,突破距今(周),缩量确认(周),股票代码,股票名称,ATR%
买点1（待确认）,38.3,2026-04-03,8.75,9.88,+12.9%,3.12,0.9,1,1,sh.600110,诺德股份,7.19
买点1✓,44.2,2026-04-03,37.15,37.12,-0.1%,2.61,0.47,1,1,sh.600066,宇通客车,3.77
买点1（待确认）,39.8,2026-03-20,6.26,6.64,+6.1%,4.98,1.35,3,1,sh.600396,华电辽能,10.8
买点1✓,92.9,2026-04-03,5.26,5.57,+5.9%,8.7,0.42,1,1,sh.600502,安徽建工,5.09
买点1（待确认）,35.3,2026-03-27,6.08,6.3,+3.6%,3.58,1.04,2,1,sh.600666,奥瑞德,9.64
买点1✓,46.8,2026-04-03,9.97,9.8,-1.7%,2.93,0.53,1,1,sh.600746,江苏索普,6.65
买点1（待确认）,37.7,2026-04-03,9.9,9.96,+0.6%,3.04,0.82,1,1,sh.600867,通化东宝,4.89
买点1✓,45.0,2026-04-03,9.81,10.49,+6.9%,2.71,0.66,1,1,sh.603227,雪峰科技,4.86
买点1（待确认）,44.2,2026-04-10,49.59,49.59,+0.0%,3.02,,0,0,sh.603538,美诺华,9.19
买点1✓,37.0,2026-03-27,34.3,33.65,-1.9%,2.54,0.63,2,1,sh.603659,璞泰来,5.24
买点1（待确认）,65.3,2026-03-27,15.63,16.77,+7.3%,7.33,0.71,2,1,sh.603687,大胜达,9.88
买点1（待确认）,34.4,2026-03-27,22.41,22.1,-1.4%,3.47,0.94,2,1,sh.603906,龙蟠科技,7.38
买点1（待确认）,21.1,2026-03-20,19.0,21.16,+11.4%,2.64,0.92,3,1,sh.603985,恒润股份,5.54
买点1（待确认）,43.4,2026-04-10,21.32,21.32,+0.0%,2.93,,0,0,sh.605005,合兴股份,3.87
买点1（待确认）,32.1,2026-03-27,19.25,19.58,+1.7%,3.18,1.17,2,1,sh.605299,舒华体育,14.4
买点1（待确认）,41.1,2026-04-10,60.45,60.45,+0.0%,2.64,,0,0,sh.688146,中船特气,5.36
买点1（待确认）,46.2,2026-04-10,73.1,73.1,+0.0%,3.27,,0,0,sh.688677,海泰新光,8.64
买点1（待确认）,35.6,2026-04-03,13.97,14.56,+4.2%,2.78,0.88,1,1,sz.000065,北方国际,7.27
买点1（待确认）,31.0,2026-03-27,3.13,3.14,+0.3%,3.04,1.1,2,1,sz.000927,中国铁物,6.96
买点1✓,49.1,2026-03-27,20.44,20.72,+1.4%,4.05,0.62,2,1,sz.002039,黔源电力,5.67
买点1（待确认）,57.0,2026-04-10,10.73,10.73,+0.0%,4.62,,0,0,sz.002051,中工国际,7.59
买点1（待确认）,47.9,2026-04-10,4.9,4.9,+0.0%,3.49,,0,0,sz.002263,大东南,8.23
买点1（待确认）,41.0,2026-03-27,4.33,4.4,+1.6%,4.29,1.47,2,1,sz.002309,中利集团,10.66
买点1（待确认）,21.7,2026-03-20,62.36,92.75,+48.7%,2.71,0.9,3,1,sz.002432,九安医疗,7.16
买点1（待确认）,46.7,2026-04-10,18.98,18.98,+0.0%,3.34,,0,0,sz.002580,圣阳股份,8.08
买点1✓,43.7,2026-04-03,28.11,26.84,-4.5%,2.55,0.57,1,1,sz.002730,电光科技,9.59
买点1✓,61.3,2026-04-03,122.06,121.27,-0.6%,4.74,0.62,1,1,sz.002821,凯莱英,4.53
买点1（待确认）,41.0,2026-04-10,12.58,12.58,+0.0%,2.62,,0,0,sz.002840,华统股份,5.37
买点1✓,31.5,2026-03-20,10.39,11.54,+11.1%,2.69,0.65,3,1,sz.300209,行云科技,8.36
买点1（待确认）,48.0,2026-04-10,67.81,67.81,+0.0%,3.5,,0,0,sz.300489,光智科技,5.53
买点1（待确认）,33.5,2026-03-27,19.09,18.43,-3.5%,3.36,0.9,2,1,sz.300497,富祥药业,7.04
